--- SUMMARY ---
Metric,Value
Risk Score,78.9
Risk Level,CRITICAL
Predicted Crime,Homicidio (Homicide)
Forecast Duration,7 days
Affected Zones,Bello; Robledo; Envigado; Itagüí; Belén

--- ZONE RISKS ---
Zone,Risk Score
Bello,89
2024-12-02,Golpe a los jíbaros carceleros de "la Terraza",www.elcolombiano.com,0.9
2024-12-02,Golpe a la banda delincuencial “la terraza” en Medellín,www.policia.gov.co,0.9
2024-12-02,Medellín: Capturan a presunto cabecilla de 'La Oficina' en Robledo,www.youtube.com,0.9
2024-12-02,Medellín: Capturan a presunto cabecilla de 'La Oficina' en Robledo,www.youtube.com,0.9
2024-12-02,Medellín: Capturan a 12 integrantes de la banda 'Los Pachelly',www.youtube.com,0.9
2024-12-02,Clan del Golfo,es.wikipedia.org,0.9
2024-12-02,Medellín: 1.200 homicidios en 2024, la mayoría por ajustes de cuentas,telemedellin.tv,0.9
2024-12-02,Medellín: Capturan a presunto cabecilla de banda criminal 'Los Chatas' en operativo,www.youtube.com,0.9
2024-12-02,Medellín: Capturado alias 'El Flaco', cabecilla de la banda 'Los Pachelly',www.youtube.com,0.9
2024-12-02,Medellín: Capturan a presunto cabecilla de 'Los Pachelly' en operativo contra extorsión,www.youtube.com,0.9
2024-12-02,Medellín registró 1.200 homicidios en 2023, la cifra más alta en una década,telemedellin.tv,0.9
2024-12-02,Medellín: 1.200 homicidios en 2024, la mayoría por ajustes de cuentas,telemedellin.tv,0.9
2024-12-02,Medellín: Capturan a 12 integrantes de banda criminal 'Los Pachelly',www.youtube.com,0.9
2024-12-02,Medellín: 1.200 homicidios en 2024, la mayoría por ajustes de cuentas,telemedellin.tv,0.9
2024-12-02,Asesinatos en medellin: Últimas noticias, fotos, videos, artículos de opinión de Asesinatos en medellin,www.elespectador.com,0.9
2024-12-02,Medellín: 1.200 homicidios en 2024, la mayoría por ajustes de cuentas,telemedellin.tv,0.9
2024-12-02,Medellín: 14 capturados por extorsión y homicidio en la comuna 13,primeraedicioncol.com,0.9
2024-12-02,La Oficina | Revelaciones del bajo mundo,www.elcolombiano.com,0.9
2024-12-02,Medellín: Capturan a alias 'El Flaco', cabecilla de la banda 'Los Pachelly',www.youtube.com,0.9
2024-12-02,Capturados cuatro presuntos integrantes del Clan del Golfo en Antioquia por extorsión y concierto para delinquir,www.policia.gov.co,0.9
2024-12-02,Medellín: Capturan a presunto cabecilla de 'La Oficina' en Robledo,www.youtube.com,0.9
2024-12-02,Medellín: Capturan a presunto cabecilla de 'La Oficina' en Robledo,www.youtube.com,0.9
2024-12-02,Medellín: 13 muertos en 24 horas, la cifra más alta en 2024,www.youtube.com,0.9
2024-12-02,Medellín: 1.200 homicidios en 2024, la mayoría por ajustes de cuentas,telemedellin.tv,0.9
2024-12-02,Secuestro | Revelaciones del bajo mundo,www.elcolombiano.com,0.9
2024-12-02,Medellín: 1.200 homicidios en 2024, la mayoría por ajustes de cuentas,telemedellin.tv,0.9
2024-12-02,Capturado alias 'Nacho', coordinador de zona del GDO Los Triana en el norte de Medellín,www.denunciasantioquia.com,0.9
2024-12-02,Alias “Terror”: el jefe del Clan del Golfo que hizo campaña con el alcalde de Puerto Triunfo y ficha,revistaraya.com,0.9
2024-12-02,Medellín: 13 muertos y 10 heridos en enfrentamientos entre bandas criminales en las últimas 24 horas,telemedellin.tv,0.9
2024-12-02,Medellín: 1.200 homicidios en 2024, la mayoría por ajustes de cuentas,telemedellin.tv,0.9
2024-12-02,Medellín: 13 capturados por extorsión en la comuna 13,telemedellin.tv,0.9
2024-12-02,Medellín: Capturan a 13 integrantes de la banda 'Los Chatas' en operativo contra el microtráfico,www.youtube.com,0.9
2024-12-02,Medellín: Capturan a presunto cabecilla de 'La Oficina' en Robledo,www.youtube.com,0.9
2024-12-02,Valle De Aburrá | Revelaciones del bajo mundo,www.elcolombiano.com,0.9
2024-12-02,Capturado segundo cabecilla del Clan del Golfo en Carepa, Antioquia,www.policia.gov.co,0.9
2024-12-02,La Oficina | Revelaciones del bajo mundo,www.elcolombiano.com,0.9
2024-11-25,26 capturados en operativos contra la extorsión y el secuestro en el Valle de Aburrá,www.policia.gov.co,0.9
2024-10-24,Alias “Carlitos” temido coordinador de Los Pachelly cayó en Bello,www.alertapaisa.com,0.9
2024-10-12,Capturan a presuntos extorsionistas y secuestradores en Medellín: 9 detenidos en San Antonio de Prado y Robledo,analisisurbano.org,0.9
2024-09-21,Colonización criminal del Valle de Aburrá llegó a 29 municipios,www.elcolombiano.com,0.9
2024-09-03,Presunto cabecilla de un grupo delincuencial fue capturado mientras celebraba su cumpleaños,www.infobae.com,0.9
2024-09-03,En celebración del cumpleaños, capturaron a “Abelito”, presunto cabecilla de Los Pachelly,caracol.com.co,0.9
2024-09-03,EN VIDEO: Abelito, presunto cabecilla de Pachelly, cayó en lujosa casa de Bello,qhubomedellin.com,0.9
